S. No (Col.1),Category (Col.2),Crime Head (Col.3),Cases Pending Investigation from Previous Year (Col.4),Cases Reported during the year (Col.5),Cases Reopened for Investigation (Col.6),Total Cases for Investigation (Col.7=Col.4+ Col.5+ Col.6),Cases Not Investigated Under 157_1_b CRPC (Col.8),Cases Transferred to other State or Agency (Col.9),Cases Withdrawn by the Govt during investigation (Col.10),Final Report - Cases Ended as FR Non Cognizable (Col.11),Final Report - Cases Ended as Final Report False (Col.12),Final Report - Cases Ended as Mistake of Fact or of Law or Civil Dispute (Col.13),Final Report - Cases True but Insufficient Evidence or Untraced or No Clue (Col.14),Final Report - Cases Abated during Investigation (Col.15),Final Report - Total (Col.16=Col.11+ Col.12+ Col.13+ Col.14+ Col.15),Chargesheets Submitted - Cases Chargesheeted Out of Cases from Previous Year (Col.17),Chargesheets Submitted - Cases Chargesheeted Out of Cases during the Year (Col.18),Chargesheets Submitted - Cases Chargesheeted (Col.19=Col.17+ Col.18),Total Cases Disposed Off by Police (Col.20=Col.8+ Col.9+ Col.16+ Col.19),Cases Quashed at Investigation Stage (Col.21),Cases Stayed at Investigation Stage (Col.22),Cases Pending Investigation at End of the Year (Col.23=Col.7- Col.10- Col.20- Col.21),Chargesheeting Rate (Col.24=Col.19/ Col.20) *100,Pendency Percent- age (Col.25=Col.23/ Col.7) *100
19.1,Total Offences under IPC,Currency,12,1,0,13,0,0,0,0,1,0,0,0,1,0,1,1,2,0,0,11,50,84.6
19.2,Total Offences under IPC,Stamps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
20,Total Offences under IPC,Cyber Blackmailing/Threatening,49,311,0,360,0,0,0,1,6,6,16,1,30,15,88,103,133,1,0,226,77.4,62.8
21,Total Offences under IPC,Fake News on Social Media,14,170,0,184,0,0,0,0,1,4,19,0,24,0,51,51,75,0,0,109,68,59.2
22,Total Offences under IPC,Other Offences,683,1086,0,1769,0,4,0,2,18,32,181,6,239,154,364,518,761,6,0,1002,68.1,56.6
Total,Total Offences under IPC,Total Offences under IPC,5850,7976,1,13827,0,13,1,3,89,229,1869,16,2206,496,1420,1916,4135,11,11,9680,46.3,70
24,Total Offences under SLL,Gambling Act (Online Gambling),3,45,0,48,0,0,0,0,0,0,0,0,0,5,23,28,28,0,0,20,100,41.7
25,Total Offences under SLL,Lotteries Act (Online Lotteries),0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,NA,100
26,Total Offences under SLL,Copy Right Act,85,89,0,174,0,1,0,0,2,5,6,0,13,22,35,57,71,0,0,103,80.3,59.2
27,Total Offences under SLL,Trade Marks Act,2,11,0,13,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,12,100,92.3
28,Total Offences under SLL,Other SLL Crimes,14,29,0,43,0,0,0,0,0,1,1,0,2,1,8,9,11,0,0,32,81.8,74.4
Total,Total Offences under SLL,Total Offences under SLL,104,185,0,289,0,1,0,0,2,6,7,0,15,29,66,95,111,0,0,178,85.6,61.6
Grand Total,Total Cyber Crimes,Total Cyber Crimes,14831,21796,2,36629,0,74,5,15,323,965,7333,106,8742,1738,3442,5180,13996,20,21,22608,37,61.7
